,country,id,lat,lng,name,clouds,date,humidity,pressure,temp,temp_max,temp_min,wind_deg,wind_speed
46,AR,3860289,-26.0,-62.75,Departamento de Copo,0,2017-11-19 03:00:00,38,1002.99,17.17,17.17,17.17,121.001,3.02
47,US,4714936,27.0856,-98.127228,Noria Willie,0,2017-11-19 03:00:00,35,1022.13,19.76,22.45,19.76,14.0011,9.87
48,US,4318404,28.96829,-89.377548,Burrwood (historical),56,2017-11-19 03:00:00,95,1027.07,23.87,24.45,23.87,251.001,9.02
49,CA,6691318,48.050301,-68.022659,Bas-Saint-Laurent,44,2017-11-19 03:00:00,84,976.73,-6.03,-5.98,-6.03,121.501,1.87
50,NA,3353715,-20.116671,16.15,Outjo,0,2017-11-19 03:00:00,62,882.3,11.4,11.4,11.4,121.501,1.37
51,BR,3455976,-16.033331,-48.599998,Ôlho d’Água,80,2017-11-19 03:00:00,93,921.77,15.15,19.15,15.15,354.501,1.27
52,ZM,921064,-14.0,29.0,Central Province,80,2017-11-19 03:00:00,96,890.16,17.45,17.45,17.45,111.001,4.47
53,MZ,1030006,-13.0,37.0,Província de Niassa,44,2017-11-19 03:00:00,84,958.25,22.12,22.12,22.12,124.001,1.77
54,ZM,900594,-13.0,25.0,North-Western Province,44,2017-11-19 03:00:00,91,893.08,17.7,17.7,17.7,96.0011,4.22
55,ZM,904838,-13.13333,30.116671,Mulaya,20,2017-11-19 03:00:00,96,875.16,17.17,17.17,17.17,121.501,4.77
56,EC,3658394,-2.0,-77.5,Republic of Ecuador,56,2017-11-19 03:00:00,99,974.46,22.32,22.32,22.32,300.001,0.52
57,KE,181562,-2.13333,37.450001,Poka,88,2017-11-19 03:00:00,97,891.29,15.32,15.32,15.32,341.501,1.32
58,KE,183689,-2.06981,40.676601,Nginda,12,2017-11-19 03:00:00,91,1021.64,22.87,22.87,22.87,65.5011,1.27
59,ID,1626197,-1.0,100.5,Provinsi Sumatera Barat,80,2017-11-19 03:00:00,90,914.8,23.3,23.3,23.3,267.001,0.72
60,ID,1635333,1.06667,109.349998,Merus,24,2017-11-19 03:00:00,79,1017.26,30.3,30.3,30.3,225.501,1.32
61,ID,1623024,2.05,117.333328,Tumbit,8,2017-11-19 03:00:00,72,996.1,29.95,29.95,29.95,346.001,0.97
62,CD,219563,3.88856,25.66136,Bangenze,0,2017-11-19 03:00:00,97,955.09,19.07,19.07,19.07,263.001,1.12
63,GH,2302135,6.04237,-0.16955,Chum,20,2017-11-19 03:00:00,93,1007.13,24.03,24.03,22.62,239.501,2.42
64,SS,381229,10.0,32.700001,Upper Nile State,0,2017-11-19 03:00:00,88,978.03,21.07,21.07,21.07,306.001,1.17
65,SD,408658,13.0,23.0,Western Darfur State,100,2017-11-19 03:00:00,39,930.53,24.77,24.77,24.77,4.0011,1.32
66,ML,2455517,14.0,-11.0,Région de Kayes,36,2017-11-19 03:00:00,65,1000.81,18.2,18.2,18.2,1.5011,1.67
67,NE,2437797,15.0,10.5,Zinder,0,2017-11-19 03:00:00,46,972.11,17.45,17.45,17.45,65.0011,2.67
68,YE,6201196,14.0,44.166672,Mu??faz?at Ibb,0,2017-11-19 03:00:00,72,843.55,-0.35,-0.35,-0.36,61.0011,0.87
69,YE,34915,16.049999,43.099998,Dayr al ?is?,0,2017-11-19 03:00:00,53,983.38,13.12,13.12,13.12,90.0011,1.17
